#,Place,Per capita income,Margin of error
82,"Orford, New Hampshire","$36,436","$3,948"
215,"Ossipee, New Hampshire","$24,443","$3,810"
67,"Pelham, New Hampshire","$38,067","$2,010"
107,"Pembroke, New Hampshire","$33,759","$4,573"
33,"Peterborough, New Hampshire","$41,947","$4,880"
71,"Piermont, New Hampshire","$37,720","$7,732"
239,"Pinkham's Grant, New Hampshire","$11,936","$12,178"
166,"Pittsburg, New Hampshire","$28,420","$7,259"
218,"Pittsfield, New Hampshire","$23,910","$3,473"
62,"Plainfield, New Hampshire","$38,810","$3,931"
119,"Plaistow, New Hampshire","$32,956","$2,944"
232,"Plymouth, New Hampshire","$20,804","$3,037"
23,"Portsmouth, New Hampshire","$45,062","$2,418"
41,"Randolph, New Hampshire","$41,009","$5,784"
153,"Raymond, New Hampshire","$29,476","$2,271"
198,"Richmond, New Hampshire","$25,985","$3,102"
176,"Rindge, New Hampshire","$27,977","$3,692"
192,"Rochester, New Hampshire","$26,580",$903
85,"Rollinsford, New Hampshire","$36,288","$4,264"
87,"Roxbury, New Hampshire","$36,098","$7,852"
193,"Rumney, New Hampshire","$26,579","$2,611"
4,"Rye, New Hampshire","$61,697","$12,078"
76,"Salem, New Hampshire","$37,325","$2,214"
66,"Salisbury, New Hampshire","$38,164","$11,467"
89,"Sanbornton, New Hampshire","$35,739","$3,579"
73,"Sandown, New Hampshire","$37,429","$3,852"
134,"Sandwich, New Hampshire","$31,599","$4,077"
160,"Seabrook, New Hampshire","$28,761","$2,377"
31,"Sharon, New Hampshire","$42,544","$5,650"
114,"Shelburne, New Hampshire","$33,363","$4,162"
200,"Somersworth, New Hampshire","$25,527","$1,925"
15,"South Hampton, New Hampshire","$47,755","$5,341"
125,"Springfield, New Hampshire","$32,576","$3,551"
228,"Stark, New Hampshire","$22,302","$3,636"
229,"Stewartstown, New Hampshire","$21,810","$3,652"
110,"Stoddard, New Hampshire","$33,734","$3,137"
77,"Strafford, New Hampshire","$37,244","$4,246"
236,"Stratford, New Hampshire","$16,813","$1,948"
7,"Stratham, New Hampshire","$58,137","$7,206"
28,"Sugar Hill, New Hampshire","$43,571","$6,798"
130,"Sullivan, New Hampshire","$32,069","$6,155"
47,"Sunapee, New Hampshire","$40,405","$4,518"
65,"Surry, New Hampshire","$38,310","$4,199"
111,"Sutton, New Hampshire","$33,609","$3,652"
108,"Swanzey, New Hampshire","$33,749","$7,182"
133,"Tamworth, New Hampshire","$31,602","$7,962"
129,"Temple, New Hampshire","$32,180","$3,883"
138,"Thornton, New Hampshire","$31,223","$3,140"
164,"Tilton, New Hampshire","$28,510","$3,734"
163,"Troy, New Hampshire","$28,558","$5,232"
121,"Tuftonboro, New Hampshire","$32,929","$4,965"
212,"Unity, New Hampshire","$24,616","$2,474"
175,"Wakefield, New Hampshire","$28,004","$4,156"
100,"Walpole, New Hampshire","$35,071","$5,189"
102,"Warner, New Hampshire","$34,657","$4,468"
226,"Warren, New Hampshire","$22,500","$3,326"
40,"Washington, New Hampshire","$41,065","$8,723"
13,"Waterville Valley, New Hampshire","$50,474","$12,838"
80,"Weare, New Hampshire","$36,667","$3,959"
120,"Webster, New Hampshire","$32,932","$3,707"
157,"Wentworth, New Hampshire","$29,350","$6,717"
234,"Wentworth's Location, New Hampshire","$19,224","$5,665"
116,"Westmoreland, New Hampshire","$33,110","$4,324"
208,"Whitefield, New Hampshire","$25,080","$2,533"
97,"Wilmot, New Hampshire","$35,209","$3,568"
105,"Wilton, New Hampshire","$33,824","$3,659"
222,"Winchester, New Hampshire","$23,404","$2,713"
12,"Windham, New Hampshire","$50,546","$4,724"
61,"Windsor, New Hampshire","$39,004","$12,061"
95,"Wolfeboro, New Hampshire","$35,307","$4,725"
142,"Woodstock, New Hampshire","$30,671","$4,208"
